,title,artist,url,participant,playlist_type
0,"""Golden Lady"" - #OffAir with Louis Cato and The Late Show Band ft. Madison Cunningham",The Late Show with Stephen Colbert,youtube.com/watch?v=wqGTKBkElhY&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=1,EKAS,relaxing
1,"Mozart: Requiem In D Minor, K.626 - 3. Sequentia: Lacrimosa",Vienna Singverein,youtube.com/watch?v=W_kSfXbmwS4&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=2,EKAS,relaxing
2,"Ein deutsches Requiem, Op. 45: I. Selig sind, die da Leid tragen",Dresdner Kreuzchor,youtube.com/watch?v=LJUunvZpnIg&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=3,EKAS,relaxing
3,"Ein deutsches Requiem, Op. 45: IV. Wie lieblich sind deine Wohnungen",Dresdner Kreuzchor,youtube.com/watch?v=yEo_Cnayfpg&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=4,EKAS,relaxing
4,Bridge Over The Stars,Keiko Matsui,youtube.com/watch?v=7FOb4yy9h7o&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=5,EKAS,relaxing
5,Awakening,Keiko Matsui,youtube.com/watch?v=0o5nYbSNu5o&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=6,EKAS,relaxing
6,Sound Of Wind Driven Rain,Will Ackerman- Guitarist,youtube.com/watch?v=yZPlpD6rFS8&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=7,EKAS,relaxing
7,Rain to River,Will Ackerman- Guitarist,youtube.com/watch?v=ZIVJIpDV6vU&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=8,EKAS,relaxing
8,Pacific II,Will Ackerman- Guitarist,youtube.com/watch?v=j9RN5K5L61A&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=9,EKAS,relaxing
9,"Yoshie Sakai, koto",samimi85,youtube.com/watch?v=cxo2skx59lU&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=10,EKAS,relaxing
10,"In Memory Of Elizabeth Reed (Live At Fillmore East, March 12, 1971)",Allman Brothers Band,youtube.com/watch?v=8jVz1NSZIlo&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=11,EKAS,relaxing
11,Linha do Horizonte (É Tão Longe...),Beto Betuk,youtube.com/watch?v=zw3WKqOBIxA&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=12,EKAS,relaxing
12,Melissa,Allman Brothers Band,youtube.com/watch?v=bX72xzzoqkc&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=13,EKAS,relaxing
13,The Kiss of No Return (2014 - Remaster),John Coltrane,youtube.com/watch?v=F-UHeXOusnA&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=14,EKAS,relaxing
14,Thaïs: Méditation (Arr. for Cello & Piano),Yo-Yo Ma,youtube.com/watch?v=C7qR6CVROHY&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=15,EKAS,relaxing
15,"Crouching Tiger, Hidden Dragon",Yo-Yo Ma,youtube.com/watch?v=oJqaGK653RM&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=16,EKAS,relaxing
16,Along The Milky Way,David Benoit,youtube.com/watch?v=kbNCP-42IJE&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=17,EKAS,relaxing
17,So Nice (Summer Samba),Bebel Gilberto,youtube.com/watch?v=U8ICcTxuMZ4&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=18,EKAS,relaxing
18,I'll Be Long Gone,Boz Scaggs,youtube.com/watch?v=uc9_bTWHGxo&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=19,EKAS,relaxing
19,Prayer X (Acoustic),King Gnu official YouTube channel,youtube.com/watch?v=CF2F5vNKM6E&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=20,EKAS,relaxing
20,Breezin',George Benson,youtube.com/watch?v=G1QjyskJ9jw&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=21,EKAS,relaxing
21,Leon Bridges & Khruangbin - Mariella (Visualizer),Leon Bridges,youtube.com/watch?v=FDkUApLcTYY&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=22,EKAS,relaxing
22,Dojo Cuts - Rome,DojoCuts,youtube.com/watch?v=gPp2KBV9zXk&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=23,EKAS,relaxing
23,Incomplete Without You,Swing Out Sister -,youtube.com/watch?v=68eqcRvfa9M&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=24,EKAS,relaxing
24,Passion Flower,"Grover Washington, Jr.",youtube.com/watch?v=Nf5Q8amsTcQ&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=25,EKAS,relaxing
25,Floyd's Ghost,Will Ackerman- Guitarist,youtube.com/watch?v=lskDlg_qmqE&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=26,EKAS,relaxing
26,New England Morning,Will Ackerman- Guitarist,youtube.com/watch?v=j3YXm50tMPc&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=27,EKAS,relaxing
27,Deep Blue,Keiko Matsui,youtube.com/watch?v=P40LsvDhOxg&list=PLZEl0b5BNrnE5x7uGgG7BCTqUpYljJoAY&index=28,EKAS,relaxing
